Student Name,Score
student551,35
student552,50
student553,47
student554,17
student555,37
student556,17
student557,36
student558,47
student559,34
student560,10
student561,20
student562,35
student563,28
student564,49
student565,1
student566,29
student567,2
student568,5
student569,16
student570,17
student571,21
student572,9
student573,23
student574,22
student575,46
student576,9
student577,32
student578,0
student579,48
student580,26
student581,39
student582,9
student583,3
student584,7
student585,44
student586,2
student587,20
student588,24
student589,35
student590,19
student591,43
student592,44
student593,49
student594,31
student595,30
student596,20
student597,12
student598,29
student599,13
student600,16
student601,5
student602,2
student603,50
student604,8
student605,12
student606,22
student607,30
student608,30
student609,10
student610,32
student611,46
student612,2
student613,49
student614,27
student615,28
student616,7
student617,41
student618,40
student619,44
student620,2
student621,35
student622,45
student623,25
student624,6
student625,4
student626,30
student627,34
student628,14
student629,7
student630,48
student631,21
student632,33
student633,5
student634,48
student635,2
student636,31
student637,13
student638,16
student639,45
student640,38
student641,25
student642,18
student643,3
student644,37
student645,3
student646,19
student647,47
student648,9
student649,28
student650,38
student651,33
student652,27
student653,36
student654,38
student655,10
student656,22
student657,23
student658,46
student659,45
student660,25
student661,50
student662,24
student663,38
student664,25
student665,42
student666,13
student667,35
student668,24
student669,3
student670,21
student671,32
student672,28
student673,26
student674,6
student675,38
student676,32
student677,38
student678,4
student679,44
student680,6
student681,20
student682,39
student683,42
student684,41
student685,5
student686,21
student687,36
student688,8
student689,44
student690,50
student691,18
student692,38
student693,6
student694,22
student695,5
student696,34
student697,49
student698,37
student699,7
student700,1
student701,36
student702,39
student703,50
student704,22
student705,43
student706,4
student707,25
student708,23
student709,40
student710,7
student711,27
student712,50
student713,11
student714,44
student715,39
student716,40
student717,34
student718,35
student719,15
student720,29
student721,29
student722,36
student723,25
student724,0
student725,38
student726,10
student727,32
student728,18
student729,4
student730,10
student731,7
student732,29
student733,18
student734,43
student735,28
student736,46
student737,24
student738,14
student739,12
student740,24
student741,29
student742,3
student743,2
student744,11
student745,34
student746,10
student747,32
student748,21
student749,49
student750,1
student751,47
student752,32
student753,47
student754,42
student755,2
student756,2
student757,35
student758,41
student759,24
student760,19
student761,28
student762,42
student763,5
student764,44
student765,38
student766,15
student767,8
student768,27
student769,4
student770,8
student771,22
student772,17
student773,39
student774,17
student775,42
student776,29
student777,15
student778,38
student779,17
student780,26
student781,34
student782,3
student783,37
student784,15
student785,39
student786,47
student787,46
student788,42
student789,8
student790,40
student791,24
student792,9
student793,35
student794,6
student795,50
student796,36
student797,2
student798,18
student799,31
student800,26
student801,29
student802,22
student803,10
student804,1
student805,30
student806,13
student807,48
student808,7
student809,27
student810,32
student811,36
student812,26
student813,31
student814,38
student815,27
student816,17
student817,40
student818,25
student819,49
student820,11
student821,27
student822,25
student823,14
student824,39
student825,16
student826,7
student827,4
student828,34
student829,31
student830,45
student831,37
student832,13
student833,25
student834,18
student835,12
student836,39
student837,15
student838,33
student839,20
student840,5
student841,27
student842,8
student843,6
student844,34
student845,9
student846,45
student847,10
student848,4
student849,4
student850,32
student851,42
student852,9
student853,22
student854,47
student855,2
student856,31
student857,21
student858,47
student859,11
student860,8
student861,26
student862,26
student863,26
student864,3
student865,0
student866,23
student867,45
student868,45
student869,28
student870,3
student871,11
student872,36
student873,34
student874,44
student875,24
student876,19
student877,34
student878,18
student879,27
student880,27
student881,34
student882,7
student883,22
student884,10
student885,33
student886,21
student887,33
student888,29
student889,46
student890,8
student891,50
student892,29
student893,26
student894,23
student895,18
student896,39
student897,12
student898,26
student899,11
student900,17
student901,14
student902,43
student903,35
student904,34
student905,10
student906,5
student907,39
student908,23
student909,34
student910,15
student911,27
student912,1
student913,27
student914,44
student915,38
student916,22
student917,11
student918,9
student919,23
student920,47
student921,22
student922,8
student923,39
student924,21
student925,21
student926,45
student927,0
student928,26
student929,28
student930,20
student931,18
student932,45
student933,44
student934,15
student935,9
student936,0
student937,21
student938,38
student939,2
student940,2
student941,21
student942,38
student943,1
student944,11
student945,42
student946,8
student947,44
student948,47
student949,39
student950,40
student951,7
student952,47
student953,49
student954,47
student955,32
student956,29
student957,16
student958,29
student959,19
student960,42
student961,9
student962,24
student963,17
student964,23
student965,38
student966,30
student967,5
student968,5
student969,4
student970,6
student971,22
student972,21
student973,13
student974,25
student975,47
student976,16
student977,18
student978,14
student979,43
student980,27
student981,32
student982,2
student983,27
student984,38
student985,2
student986,25
student987,39
student988,14
student989,12
student990,3
student991,13
student992,43
student993,15
student994,10
student995,14
student996,22
student997,36
student998,37
student999,24
student1000,50
student1001,30
student1002,37
student1003,22
student1004,16
student1005,35
student1006,46
student1007,28
student1008,5
student1009,11
student1010,45
student1011,5
student1012,1
student1013,25
student1014,31
student1015,27
student1016,27
student1017,29
student1018,23
student1019,15
student1020,1
student1021,7
student1022,3
student1023,3
student1024,9
student1025,42
student1026,44
student1027,9
student1028,30
student1029,5
student1030,29
student1031,27
student1032,6
student1033,46
student1034,24
student1035,49
student1036,40
student1037,37
student1038,45
student1039,3
student1040,25
student1041,14
student1042,45
student1043,20
student1044,15
student1045,23
student1046,9
student1047,19
student1048,26
student1049,15
student1050,33
student1051,7
student1052,34
student1053,2
student1054,14
student1055,17
student1056,0
student1057,18
student1058,18
student1059,31
student1060,5
student1061,1
student1062,37
student1063,36
student1064,35
student1065,10
student1066,12
student1067,33
student1068,1
student1069,39
student1070,1
student1071,34
student1072,27
student1073,26
student1074,34
student1075,7
student1076,19
student1077,1
student1078,42
student1079,39
student1080,47
student1081,36
student1082,47
student1083,28
student1084,48
student1085,26
student1086,48
student1087,12
student1088,10
student1089,33
student1090,4
student1091,17
student1092,27
student1093,26
student1094,49
student1095,30
student1096,22
student1097,1
student1098,22
student1099,36
student1100,17
student1101,16
student1102,36
student1103,33
student1104,30
student1105,49
student1106,31
student1107,28
student1108,20
student1109,21
student1110,2
student1111,4
student1112,5
student1113,39
student1114,25
student1115,14
student1116,3
student1117,48
student1118,7
student1119,35
student1120,22
student1121,44
student1122,16
student1123,7
student1124,47
student1125,24
student1126,49
student1127,19
student1128,13
student1129,28
student1130,31
student1131,22
student1132,10
student1133,35
student1134,24
student1135,40
student1136,5
student1137,26
student1138,16
student1139,17
student1140,45
student1141,25
student1142,8
student1143,17
student1144,17
student1145,37
student1146,13
student1147,1
student1148,23
student1149,29
student1150,39
student1151,6
student1152,38
student1153,41
student1154,24
student1155,39
student1156,44
student1157,4
student1158,0
student1159,33
student1160,33
student1161,18
student1162,48
student1163,35
student1164,13
student1165,14
student1166,28
student1167,5
student1168,24
student1169,18
student1170,13
student1171,2
student1172,10
student1173,24
student1174,47
student1175,4
student1176,42
student1177,5
student1178,7
student1179,13
student1180,32
student1181,1
student1182,43
student1183,41
student1184,23
student1185,48
student1186,47
student1187,40
student1188,0
student1189,6
student1190,15
student1191,32
student1192,24
student1193,34
student1194,5
student1195,47
student1196,16
student1197,23
student1198,44
student1199,33
student1200,22
student1201,17
student1202,34
student1203,26
student1204,38
student1205,46
student1206,41
student1207,50
student1208,39
student1209,39
student1210,1
student1211,19
student1212,3
student1213,36
student1214,46
student1215,40
student1216,22
student1217,27
student1218,47
student1219,16
student1220,44
student1221,10
student1222,12
student1223,43
student1224,1
student1225,39
student1226,38
student1227,13
student1228,14
student1229,22
student1230,20
student1231,45
student1232,45
student1233,47
student1234,0
student1235,49
student1236,6
student1237,50
student1238,39
student1239,28
student1240,43
student1241,23
student1242,40
student1243,24
student1244,49
student1245,30
student1246,1
student1247,17
student1248,32
student1249,26
student1250,12
student1251,41
student1252,6
student1253,25
student1254,38
student1255,9
student1256,5
student1257,40
student1258,5
student1259,25
student1260,25
student1261,46
student1262,19
student1263,31
student1264,18
student1265,29
student1266,22
student1267,0
student1268,43
student1269,39
student1270,34
student1271,46
student1272,29
student1273,16
student1274,9
student1275,20
student1276,36
student1277,47
student1278,22
student1279,22
student1280,33
student1281,14
student1282,9
student1283,5
student1284,43
student1285,34
student1286,28
student1287,16
student1288,37
student1289,46
student1290,32
student1291,44
student1292,4
student1293,31
student1294,41
student1295,4
student1296,22
student1297,46
student1298,28
student1299,21
student1300,36
student1301,29
student1302,35
student1303,23
student1304,25
student1305,30
student1306,33
student1307,36
student1308,38
student1309,15
student1310,24
student1311,16
student1312,31
student1313,40
student1314,23
student1315,13
student1316,14
student1317,45
student1318,2
student1319,9
student1320,47
student1321,0
student1322,32
student1323,24
student1324,24
student1325,36
student1326,21
student1327,30
student1328,9
student1329,34
student1330,6
student1331,11
student1332,37
student1333,49
student1334,20
student1335,8
student1336,11
student1337,36
student1338,8
student1339,6
student1340,9
student1341,10
student1342,40
student1343,31
student1344,32
student1345,39
student1346,41
student1347,33
student1348,10
student1349,3
student1350,15
student1351,19
student1352,3
student1353,20
student1354,7
student1355,28
student1356,16
student1357,50
student1358,7
student1359,50
student1360,35
student1361,12
student1362,1
student1363,33
student1364,38
student1365,6
student1366,23
student1367,13
student1368,3
student1369,42
student1370,7
student1371,1
student1372,9
student1373,30
student1374,6
student1375,3
student1376,31
student1377,24
student1378,15
student1379,24
student1380,36
student1381,17
student1382,25
student1383,48
student1384,42
student1385,24
student1386,25
student1387,38
student1388,13
student1389,18
student1390,26
student1391,24
student1392,1
student1393,16
student1394,50
student1395,32
student1396,20
student1397,7
student1398,31
student1399,15
student1400,3
student1401,12
student1402,1
student1403,29
student1404,41
student1405,38
student1406,27
student1407,9
student1408,48
student1409,27
student1410,15
student1411,7
student1412,13
student1413,24
student1414,12
student1415,48
student1416,35
student1417,44
student1418,46
student1419,31
student1420,9
student1421,0
student1422,41
student1423,12
student1424,22
student1425,19
student1426,36
student1427,27
student1428,18
student1429,42
student1430,20
student1431,31
student1432,17
student1433,20
student1434,41
student1435,26
student1436,41
student1437,14
student1438,41
student1439,48
student1440,41
student1441,47
student1442,35
student1443,1
student1444,21
student1445,9
student1446,48
student1447,40
student1448,30
student1449,28
student1450,12
student1451,22
student1452,8
student1453,32
student1454,28
student1455,34
student1456,23
student1457,27
student1458,5
student1459,17
student1460,10
student1461,31
student1462,25
student1463,25
student1464,49
student1465,17
student1466,22
student1467,27
student1468,30
student1469,11
student1470,9
student1471,0
student1472,4
student1473,25
student1474,16
student1475,42
student1476,33
student1477,36
student1478,1
student1479,50
student1480,50
student1481,46
student1482,23
student1483,15
student1484,10
student1485,4
student1486,45
student1487,36
student1488,34
student1489,36
student1490,26
student1491,37
student1492,35
student1493,15
student1494,23
student1495,50
student1496,48
student1497,0
student1498,8
student1499,18
student1500,18
student1501,49
student1502,42
student1503,20
student1504,24
student1505,13
student1506,15
student1507,8
student1508,50
student1509,2
student1510,4
student1511,33
student1512,23
student1513,2
student1514,6
student1515,33
student1516,45
student1517,3
student1518,8
student1519,44
student1520,38
student1521,39
student1522,16
student1523,39
student1524,1
student1525,39
student1526,21
student1527,33
student1528,27
student1529,7
student1530,4
student1531,46
student1532,10
student1533,48
student1534,17
student1535,33
student1536,39
student1537,37
student1538,46
student1539,8
student1540,14
student1541,47
student1542,5
student1543,22
student1544,28
student1545,20
student1546,25
student1547,50
student1548,23
student1549,9
student1550,48
student1551,40
student1552,41
student1553,10
student1554,42
student1555,49
student1556,1
student1557,23
student1558,37
student1559,33
student1560,29
student1561,24
student1562,14
student1563,25
student1564,28
student1565,13
student1566,31
student1567,1
student1568,1
student1569,39
student1570,48
student1571,11
student1572,19
student1573,28
student1574,46
student1575,37
student1576,20
student1577,45
student1578,33
student1579,28
student1580,42
student1581,50
student1582,7
student1583,16
student1584,15
student1585,36
student1586,24
student1587,26
student1588,21
student1589,42
student1590,38
student1591,39
student1592,21
student1593,2
student1594,50
student1595,48
student1596,29
student1597,10
student1598,50
student1599,24
student1600,8
student1601,39
student1602,24
student1603,44
student1604,33
student1605,12
student1606,1
student1607,26
student1608,30
student1609,33
student1610,45
student1611,38
student1612,15
student1613,20
student1614,1
student1615,35
student1616,11
student1617,26
student1618,29
student1619,42
student1620,26
student1621,27
student1622,49
student1623,10
student1624,9
student1625,22
student1626,9
student1627,8
student1628,37
student1629,34
student1630,8
student1631,35
student1632,2
student1633,7
student1634,11
student1635,47
student1636,34
student1637,13
student1638,41
student1639,14
student1640,37
student1641,3
student1642,13
student1643,14
student1644,32
student1645,19
student1646,7
student1647,40
student1648,45
student1649,12
student1650,22
student1651,13
student1652,7
student1653,3
student1654,34
student1655,21
student1656,50
student1657,0
student1658,2
student1659,3
student1660,41
student1661,7
student1662,28
student1663,34
student1664,7
student1665,4
student1666,21
student1667,9
student1668,49
student1669,22
student1670,35
student1671,2
student1672,3
student1673,30
student1674,11
student1675,17
student1676,16
student1677,41
student1678,34
student1679,26
student1680,22
student1681,25
student1682,34
student1683,9
student1684,39
student1685,9
student1686,20
student1687,33
student1688,17
student1689,44
student1690,6
student1691,15
student1692,27
student1693,29
student1694,24
student1695,10
student1696,40
student1697,0
student1698,35
student1699,2
student1700,16
student1701,9
student1702,25
student1703,49
student1704,6
student1705,42
student1706,32
student1707,9
student1708,24
student1709,50
student1710,37
student1711,8
student1712,35
student1713,49
student1714,32
student1715,4
student1716,19
student1717,49
student1718,19
student1719,17
student1720,13
student1721,23
student1722,50
student1723,35
student1724,35
student1725,24
student1726,14
student1727,35
student1728,15
student1729,47
student1730,15
student1731,15
student1732,46
student1733,42
student1734,17
student1735,21
student1736,19
student1737,41
student1738,49
student1739,24
student1740,23
student1741,40
student1742,44
student1743,30
student1744,46
student1745,37
student1746,34
student1747,42
student1748,44
student1749,10
student1750,13
student1751,32
student1752,6
student1753,39
student1754,49
student1755,25
student1756,49
student1757,36
student1758,37
student1759,6
student1760,5
student1761,22
student1762,25
student1763,3
student1764,16
student1765,38
student1766,7
student1767,49
student1768,49
student1769,37
student1770,3
student1771,12
student1772,0
student1773,49
student1774,28
student1775,4
student1776,10
student1777,44
student1778,39
student1779,5
student1780,11
student1781,7
student1782,37
student1783,35
student1784,23
student1785,29
student1786,12
student1787,45
student1788,47
student1789,15
student1790,8
student1791,18
student1792,6
student1793,20
student1794,1
student1795,39
student1796,46
student1797,30
student1798,18
student1799,18
student1800,14
student1801,40
student1802,40
student1803,41
student1804,46
student1805,24
student1806,42
student1807,2
student1808,1
student1809,5
student1810,19
student1811,13
student1812,35
student1813,19
student1814,11
student1815,20
student1816,1
student1817,3
student1818,36
student1819,5
student1820,40
student1821,20
student1822,23
student1823,50
student1824,0
student1825,22
student1826,42
student1827,5
student1828,21
student1829,12
student1830,15
student1831,6
student1832,10
student1833,43
student1834,29
student1835,34
student1836,44
student1837,47
student1838,29
student1839,34
student1840,33
student1841,15
student1842,33
student1843,13
student1844,42
student1845,40
student1846,14
student1847,24
student1848,30
student1849,49
student1850,47
student1851,48
student1852,41
student1853,23
student1854,18
student1855,14
student1856,50
student1857,48
student1858,30
student1859,22
student1860,12
student1861,41
student1862,48
student1863,46
student1864,27
student1865,32
student1866,13
student1867,34
student1868,27
student1869,47
student1870,0
student1871,34
student1872,11
student1873,32
student1874,6
student1875,48
student1876,11
student1877,28
student1878,25
student1879,37
student1880,37
student1881,8
student1882,46
student1883,49
student1884,2
student1885,44
student1886,49
student1887,12
student1888,15
student1889,10
student1890,1
student1891,21
student1892,8
student1893,28
student1894,7
student1895,35
student1896,1
student1897,23
student1898,18
student1899,21
student1900,11
student1901,49
student1902,43
student1903,25
student1904,8
student1905,15
student1906,25
student1907,50
student1908,23
student1909,42
student1910,20
student1911,0
student1912,38
student1913,29
student1914,6
student1915,4
student1916,13
student1917,14
student1918,4
student1919,30
student1920,18
student1921,4
student1922,43
student1923,16
student1924,4
student1925,40
student1926,30
student1927,8
student1928,37
student1929,8
student1930,24
student1931,7
student1932,3
student1933,20
student1934,3
student1935,28
student1936,16
student1937,6
student1938,20
student1939,7
student1940,21
student1941,31
student1942,48
student1943,27
student1944,16
student1945,41
student1946,50
student1947,17
student1948,47
student1949,29
student1950,24
student1951,48
student1952,8
student1953,31
student1954,28
student1955,15
student1956,11
student1957,44
student1958,46
student1959,35
student1960,48
student1961,50
student1962,32
student1963,13
student1964,18
student1965,31
student1966,32
student1967,7
student1968,48
student1969,16
student1970,38
student1971,13
student1972,39
student1973,22
student1974,38
student1975,6
student1976,15
student1977,31
student1978,42
student1979,15
student1980,0
student1981,34
student1982,17
student1983,14
student1984,38
student1985,36
student1986,2
student1987,22
student1988,29
student1989,10
student1990,11
student1991,27
student1992,2
student1993,8
student1994,3
student1995,42
student1996,14
student1997,44
student1998,32
student1999,18
student2000,29
student2001,24
student2002,44
student2003,28
student2004,16
student2005,18
student2006,22
student2007,15
student2008,14
student2009,26
student2010,38
student2011,0
student2012,49
student2013,42
student2014,50
student2015,9
student2016,50
student2017,6
student2018,47
student2019,24
student2020,45
student2021,25
student2022,17
student2023,35
student2024,35
student2025,12
student2026,23
student2027,9
student2028,50
student2029,37
student2030,9
student2031,1
student2032,49
student2033,22
student2034,10
student2035,36
student2036,18
student2037,14
student2038,8
student2039,35
student2040,35
student2041,20
student2042,26
student2043,49
student2044,32
student2045,36
student2046,41
student2047,34
student2048,27
student2049,0
student2050,29
student2051,16
student2052,47
student2053,23
student2054,2
student2055,34
student2056,41
student2057,48
student2058,30
student2059,34
student2060,26
student2061,12
student2062,44
student2063,24
student2064,28
student2065,16
student2066,46
student2067,23
student2068,1
student2069,50
student2070,1
student2071,5
student2072,14
student2073,46
student2074,14
student2075,50
student2076,4
student2077,39
student2078,49
student2079,9
student2080,48
student2081,6
student2082,32
student2083,15
student2084,37
student2085,14
student2086,19
student2087,33
student2088,36
student2089,46
student2090,21
student2091,7
student2092,34
student2093,19
student2094,5
student2095,28
student2096,27
student2097,42
student2098,46
student2099,38
student2100,46
student2101,33
student2102,0
student2103,48
student2104,44
student2105,6
student2106,10
student2107,10
student2108,20
student2109,12
student2110,13
student2111,50
student2112,23
student2113,47
student2114,18
student2115,44
student2116,41
student2117,19
student2118,14
student2119,18
student2120,37
student2121,2
student2122,42
student2123,32
student2124,24
student2125,13
student2126,38
student2127,39
student2128,12
student2129,28
student2130,22
student2131,12
student2132,40
student2133,22
student2134,12
student2135,10
student2136,50
student2137,39
student2138,1
student2139,2
student2140,26
student2141,17
student2142,20
student2143,39
student2144,32
student2145,34
student2146,47
student2147,8
student2148,12
student2149,43
student2150,4
student2151,10
student2152,32
student2153,16
student2154,37
student2155,19
student2156,24
student2157,18
student2158,34
student2159,20
student2160,50
student2161,2
student2162,22
student2163,35
student2164,37
student2165,23
student2166,24
student2167,44
student2168,10
student2169,21
student2170,17
student2171,23
student2172,17
student2173,30
student2174,8
student2175,18
student2176,24
student2177,9
student2178,11
student2179,29
student2180,25
student2181,10
student2182,11
student2183,22
student2184,46
student2185,30
student2186,31
student2187,4
student2188,10
student2189,1
student2190,10
student2191,32
student2192,1
student2193,6
student2194,31
student2195,1
student2196,38
student2197,26
student2198,26
student2199,41
student2200,20
student2201,20
student2202,3
student2203,33
student2204,10
student2205,7
student2206,27
student2207,22
student2208,32
student2209,11
student2210,45
student2211,34
student2212,50
student2213,22
student2214,9
student2215,21
student2216,29
student2217,10
student2218,17
student2219,7
student2220,28
student2221,3
student2222,18
student2223,47
student2224,4
student2225,28
student2226,25
student2227,16
student2228,37
student2229,13
student2230,49
student2231,44
student2232,31
student2233,44
student2234,49
student2235,4
student2236,27
student2237,40
student2238,6
student2239,33
student2240,25
student2241,0
student2242,49
student2243,23
student2244,11
student2245,7
student2246,29
student2247,1
student2248,4
student2249,31
student2250,4
student2251,39
student2252,23
student2253,37
student2254,24
student2255,10
student2256,1
student2257,8
student2258,30
student2259,22
student2260,0
student2261,23
student2262,22
student2263,21
student2264,17
student2265,36
student2266,4
student2267,0
student2268,15
student2269,3
student2270,47
student2271,45
student2272,16
student2273,8
student2274,1
student2275,7
student2276,2
student2277,24
student2278,21
student2279,44
student2280,35
student2281,2
student2282,34
student2283,26
student2284,28
student2285,18
student2286,30
student2287,49
student2288,7
student2289,23
student2290,29
student2291,26
student2292,14
student2293,35
student2294,16
student2295,10
student2296,47
student2297,21
student2298,4
student2299,45
student2300,7
student2301,27
student2302,19
student2303,36
student2304,18
student2305,31
student2306,8
student2307,34
student2308,39
student2309,3
student2310,2
student2311,3
student2312,29
student2313,2
student2314,0
student2315,17
student2316,47
student2317,11
student2318,15
student2319,42
student2320,2
student2321,1
student2322,26
student2323,22
student2324,30
student2325,7
student2326,24
student2327,11
student2328,3
student2329,49
student2330,4
student2331,26
student2332,45
student2333,29
student2334,40
student2335,35
student2336,35
student2337,26
student2338,42
student2339,19
student2340,45
student2341,32
student2342,38
student2343,33
student2344,12
student2345,24
student2346,30
student2347,37
student2348,10
student2349,38
student2350,40
student2351,1
student2352,22
student2353,19
student2354,31
student2355,43
student2356,44
student2357,3
student2358,13
student2359,0
student2360,32
student2361,7
student2362,10
student2363,1
student2364,40
student2365,21
student2366,17
student2367,27
student2368,29
student2369,19
student2370,29
student2371,29
student2372,34
student2373,45
student2374,23
student2375,37
student2376,20
student2377,42
student2378,49
student2379,3
student2380,14
student2381,8
student2382,7
student2383,35
student2384,35
student2385,44
student2386,5
student2387,9
student2388,41
student2389,49
student2390,48
student2391,48
student2392,34
student2393,49
student2394,20
student2395,41
student2396,13
student2397,41
student2398,31
student2399,29
student2400,15
student2401,38
student2402,12
student2403,40
student2404,19
student2405,36
student2406,6
student2407,40
student2408,39
student2409,6
student2410,45
student2411,31
student2412,27
student2413,14
student2414,21
student2415,18
student2416,11
student2417,4
student2418,44
student2419,29
student2420,29
student2421,39
student2422,3
student2423,29
student2424,31
student2425,14
student2426,44
student2427,10
student2428,37
student2429,34
student2430,4
student2431,8
student2432,43
student2433,3
student2434,24
student2435,23
student2436,32
student2437,4
student2438,33
student2439,19
student2440,15
student2441,22
student2442,10
student2443,10
student2444,49
student2445,13
student2446,44
student2447,22
student2448,31
student2449,42
student2450,4
student2451,29
student2452,24
student2453,3
student2454,28
student2455,35
student2456,30
student2457,22
student2458,49
student2459,17
student2460,13
student2461,27
student2462,17
student2463,12
student2464,9
student2465,31
student2466,15
student2467,34
student2468,16
student2469,46
student2470,22
student2471,47
student2472,41
student2473,8
student2474,16
student2475,23
student2476,33
student2477,2
student2478,6
student2479,39
student2480,20
student2481,15
student2482,47
student2483,5
student2484,40
student2485,47
student2486,46
student2487,25
student2488,49
student2489,41
student2490,2
student2491,31
student2492,33
student2493,3
student2494,46
student2495,21
student2496,48
student2497,24
